,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,1 20AF,2 20AF,4 40AM,5 40AM,6 40AM,7 2e6 Mf,8 2e6 Mf,9 2e6 Mf,10 200 L3,11 200 L3,12 200 L3,AF_vs_AM_ttest_pval,AF_vs_AM_Log2FoldChange,AF_vs_AM_impact_score,AF_vs_L3_ttest_pval,AF_vs_L3_Log2FoldChange,AF_vs_L3_impact_score,AF_vs_Mf_ttest_pval,AF_vs_Mf_Log2FoldChange,AF_vs_Mf_impact_score,AM_vs_AF_ttest_pval,AM_vs_AF_Log2FoldChange,AM_vs_AF_impact_score,AM_vs_L3_ttest_pval,AM_vs_L3_Log2FoldChange,AM_vs_L3_impact_score,AM_vs_Mf_ttest_pval,AM_vs_Mf_Log2FoldChange,AM_vs_Mf_impact_score,L3_vs_AF_ttest_pval,L3_vs_AF_Log2FoldChange,L3_vs_AF_impact_score,L3_vs_AM_ttest_pval,L3_vs_AM_Log2FoldChange,L3_vs_AM_impact_score,L3_vs_Mf_ttest_pval,L3_vs_Mf_Log2FoldChange,L3_vs_Mf_impact_score,Mf_vs_AF_ttest_pval,Mf_vs_AF_Log2FoldChange,Mf_vs_AF_impact_score,Mf_vs_AM_ttest_pval,Mf_vs_AM_Log2FoldChange,Mf_vs_AM_impact_score,Mf_vs_L3_ttest_pval,Mf_vs_L3_Log2FoldChange,Mf_vs_L3_impact_score
0,Beta-Alanine,C3H7NO2,+,90.055,2.7,10.48,0.27,5,696313,1026788,1169204,1582920,1303742,-,-,-,-,-,-,0.09128835047557672,-0.6500402198556408,19.0,0.008706623784938746,3.024457573559033,452.0,0.008706623784938746,3.024457573559033,452.0,0.09128835047557672,0.6500402198556406,19.0,0.0005151419844937078,3.6744977934146736,18067.0,0.0005151419844937078,3.6744977934146736,18067.0,0.008706623784938746,-3.024457573559033,452.0,0.0005151419844937078,-3.6744977934146736,18067.0,NA,0.0,0.0,0.008706623784938746,-3.024457573559033,452.0,0.0005151419844937078,-3.6744977934146736,18067.0,NA,0.0,0.0
1,L-Alanine,C3H7NO2,+,90.055,1.6,11.2,0.09,11,60964112,55875068,78869640,85609560,81429664,35133704,21054246,30135908,3007352,2726451,2915061,0.005031865628568928,-0.4886371001522282,19574.0,8.78769809518271e-05,4.340832176780161,7067960.0,0.01346785956276525,1.021655390380655,6572.0,0.005031865628568928,0.4886371001522283,19574.0,2.2819683843992985e-06,4.829469276932389,528616273.0,0.00031008096233491847,1.5102924905328825,508697.0,8.78769809518271e-05,-4.340832176780161,7067960.0,2.2819683843992985e-06,-4.829469276932389,528616273.0,0.0032797054844848146,-3.3191767863995065,48171.0,0.01346785956276525,-1.0216553903806544,6572.0,0.00031008096233491847,-1.5102924905328827,508697.0,0.0032797054844848146,3.3191767863995065,48171.0
2,Sarcosine,C3H7NO2,+,90.055,1.6,11.24,0.06,11,56817720,54949776,88900512,88261016,103269304,28392202,16527613,25325246,2727930,2296320,2890966,0.00968672635135529,-0.7421817871329897,12896.0,5.746046619284234e-06,4.404690657073188,107861180.0,0.006002792940574014,1.2549944915165498,15764.0,0.00968672635135529,0.7421817871329898,12896.0,4.9944119816556594e-05,5.14687244420618,34091129.0,0.0003184548800181425,1.99717627864954,732684.0,5.746046619284234e-06,-4.404690657073188,107861180.0,4.9944119816556594e-05,-5.146872444206179,34091129.0,0.004296785115959701,-3.1496961655566387,26906.0,0.006002792940574014,-1.25499449151655,15764.0,0.0003184548800181425,-1.99717627864954,732684.0,0.004296785115959701,3.14969616555664,26906.0
3,Betaine,C5H11NO2,+,118.0863,-2.2,8.08,0.14,11,1931648128,2092388992,2066617344,2196990720,2182682112,414744768,270328960,300571168,30906256,31890692,37854640,0.18664560845216274,-0.09486301777363038,11904.0,6.121435598483616e-05,5.906164274926742,1001990210.0,0.00025760791010023923,2.6144662369447613,27820480.0,0.18664560845216274,0.09486301777363043,11904.0,8.729624030890289e-07,6.001027292700372,80053607493.0,7.180401244334929e-06,2.709329254718392,1128213564.0,6.121435598483616e-05,-5.906164274926742,1001990210.0,8.729624030890289e-07,-6.001027292700372,80053607493.0,0.0025814812633940675,-3.291698037981982,686796.0,0.00025760791010023923,-2.6144662369447613,27820480.0,7.180401244334929e-06,-2.709329254718392,1128213564.0,0.0025814812633940675,3.291698037981982,686796.0
4,L-Valine,C5H11NO2,+,118.0863,-2.2,8.33,0.27,11,103342952,114289240,172540320,201258816,266098480,7823512,5746272,4791920,429888,667375,446331,0.06220105637184176,-0.970986615986012,5076.0,0.00011736420366031975,7.724417324099255,98504825.0,0.00015424874740509664,4.152082620686748,6623818.0,0.06220105637184176,0.970986615986012,5076.0,0.0015382902532815662,8.695403940085267,28810098.0,0.0017051119620125773,5.1230692366727615,2242283.0,0.00011736420366031975,-7.724417324099255,98504825.0,0.0015382902532815662,-8.695403940085267,28810098.0,0.0033583633782421373,-3.5723347034125053,11751.0,0.00015424874740509664,-4.152082620686748,6623818.0,0.0017051119620125773,-5.1230692366727615,2242283.0,0.0033583633782421373,3.5723347034125053,11751.0
5,N-Acetyl-L-alanine,C5H9NO3,+,132.0655,-2.4,6.55,0.41,6,528776,681112,508163,661236,633299,78235,-,-,-,-,-,0.9642634126488075,0.00967827621472843,1.0,0.0026480980914756307,2.9536842567397232,999.0,0.0026488368111562623,2.952760754569609,998.0,0.9642634126488075,-0.00967827621472857,1.0,0.00037361219776061393,2.9440059805249943,6993.0,0.00037375223052688066,2.943082478354881,6986.0,0.0026480980914756307,-2.9536842567397232,999.0,0.00037361219776061393,-2.9440059805249943,6993.0,0.373900966300059,-0.0009235021701139355,0.0,0.0026488368111562623,-2.952760754569609,998.0,0.00037375223052688066,-2.943082478354881,6986.0,0.373900966300059,0.0009235021701139543,0.0
6,4-Hydroxyproline,C5H9NO3,+,132.0655,-3.2,10.87,0.29,9,464184416,495949504,52545432,55990288,54523484,13866190,12253689,11612597,-,24534990,-,4.813037310980596e-05,3.142802271080205,49035573.0,7.356367325999948e-05,5.602978419103147,161851907.0,3.601408494669735e-05,5.2543194706554255,261059188.0,4.813037310980596e-05,-3.142802271080205,49035573.0,0.003851665825675572,2.460176148022941,45883.0,4.09423232248485e-06,2.1115171995752195,35322546.0,7.356367325999948e-05,-5.602978419103147,161851907.0,0.003851665825675572,-2.4601761480229407,45883.0,0.732276159982427,-0.3486589484477212,20.0,3.601408494669735e-05,-5.254319470655425,261059188.0,4.09423232248485e-06,-2.1115171995752195,35322546.0,0.732276159982427,0.34865894844772105,20.0
7,L-Isoleucine,C6H13NO2,+,132.1019,-3.1,7.44,0.11,11,169975680,221655696,45790916,120368480,42866504,51815780,28892486,29708696,2158339,11887559,1544930,0.0450283148736531,1.4907771385036406,8285.0,0.00235761042715311,5.235689399427861,1606279.0,0.005155060569393359,2.4114970408346754,120038.0,0.0450283148736531,-1.4907771385036406,8285.0,0.06531765305174381,3.744912260924221,7684.0,0.2818301397534323,0.9207199023310346,358.0,0.00235761042715311,-5.235689399427861,1606279.0,0.06531765305174381,-3.744912260924221,7684.0,0.01839136564867588,-2.8241923585931863,8087.0,0.005155060569393359,-2.4114970408346754,120038.0,0.2818301397534323,-0.9207199023310348,358.0,0.01839136564867588,2.8241923585931863,8087.0
8,L-Leucine,C6H13NO2,+,132.1019,-3.1,7.52,0.18,11,289896544,319052576,156028464,219933424,143542336,79731480,41944112,49912520,3657121,19169060,3686875,0.027105131950402143,0.8141487117824053,15492.0,0.00017568505403702526,5.1065093156110795,30720270.0,0.0008905069077229312,2.412334588036891,1081013.0,0.027105131950402143,-0.8141487117824053,15492.0,0.0024621199704853245,4.292360603828674,724228.0,0.011613122147236908,1.5981858762544858,30029.0,0.00017568505403702526,-5.1065093156110795,30720270.0,0.0024621199704853245,-4.292360603828674,724228.0,0.018525559097203485,-2.6941747275741874,11534.0,0.0008905069077229312,-2.412334588036891,1081013.0,0.011613122147236908,-1.5981858762544858,30029.0,0.018525559097203485,2.6941747275741874,11534.0
9,Dihydroxyacetone phosphate,C3H7O6P,-,168.9907,-6.8,12.6,0.19,3,129334,57122,-,-,70251,-,-,-,-,-,-,0.1896636647252005,1.631782900749406,1.0,0.053603786094006484,3.220763317480116,9.0,0.053603786094006484,3.220763317480116,9.0,0.1896636647252005,-1.631782900749406,1.0,0.3739009663000589,1.5889804167307098,0.0,0.3739009663000589,1.5889804167307098,0.0,0.053603786094006484,-3.2207633174801167,9.0,0.3739009663000589,-1.5889804167307098,0.0,NA,0.0,0.0,0.053603786094006484,-3.2207633174801167,9.0,0.3739009663000589,-1.5889804167307098,0.0,NA,0.0,0.0
10,D-Glyceraldehyde 3-phosphate,C3H7O6P,-,168.9907,-5.6,13.43,0.4,2,28050,-,-,-,25365,-,-,-,-,-,-,0.6934672046697463,0.2740606894206697,0.0,0.272228401224416,0.7044695141509079,0.0,0.272228401224416,0.7044695141509079,0.0,0.6934672046697463,-0.2740606894206696,0.0,0.3739009663000589,0.4304088247302384,0.0,0.3739009663000589,0.4304088247302384,0.0,0.272228401224416,-0.704469514150908,0.0,0.3739009663000589,-0.4304088247302382,0.0,NA,0.0,0.0,0.272228401224416,-0.704469514150908,0.0,0.3739009663000589,-0.4304088247302382,0.0,NA,0.0,0.0
11,Ribose 1-phosphate,C5H11O8P,-,229.0119,-5.1,12.26,0.22,7,85573,74718,67128,49177,72745,40125,-,70304,-,-,-,0.18614257859523425,0.346888074892959,0.0,0.0008745728090093105,1.6554944931853215,190.0,0.1407888481186896,0.8234342881068181,1.0,0.18614257859523425,-0.34688807489295914,0.0,0.006140935694911309,1.3086064182923622,18.0,0.3026635354688577,0.4765462132138587,0.0,0.0008745728090093105,-1.6554944931853215,190.0,0.006140935694911309,-1.3086064182923625,18.0,0.20724892745477308,-0.8320602050785035,0.0,0.1407888481186896,-0.8234342881068181,1.0,0.3026635354688577,-0.4765462132138588,0.0,0.20724892745477308,0.8320602050785038,0.0
12,D-Ribose 5-phosphate,C5H11O8P,-,229.0119,-6.5,12.93,0.28,8,304212,151846,238486,97325,113876,56857,48623,174213,-,-,-,0.4049978036077351,0.6052586363835988,1.0,0.04615738787158883,2.463554673054424,16.0,0.17930258746768504,1.2903356668259889,2.0,0.4049978036077351,-0.6052586363835988,1.0,0.07147259331973972,1.8582960366708252,5.0,0.40021476209534695,0.6850770304423899,0.0,0.04615738787158883,-2.463554673054424,16.0,0.07147259331973972,-1.8582960366708252,5.0,0.26995943341416834,-1.1732190062284351,1.0,0.17930258746768504,-1.2903356668259889,2.0,0.40021476209534695,-0.6850770304423899,0.0,0.26995943341416834,1.1732190062284356,1.0
13,Fructose 6-phosphate,C6H13O9P,-,259.0224,-4.8,13.34,0.27,5,4830007,2683048,2741820,1942910,2489449,-,-,-,-,-,-,0.2090517700932614,0.6515484225677011,23.0,0.022045710623112637,3.8926494860271985,1351.0,0.022045710623112637,3.8926494860271985,1351.0,0.2090517700932614,-0.6515484225677008,23.0,0.0008191370143378892,3.241101063459497,15261.0,0.0008191370143378892,3.241101063459497,15261.0,0.022045710623112637,-3.8926494860271985,1351.0,0.0008191370143378892,-3.241101063459497,15261.0,NA,0.0,0.0,0.022045710623112637,-3.8926494860271985,1351.0,0.0008191370143378892,-3.241101063459497,15261.0,NA,0.0,0.0
14,Glucose 6-phosphate,C6H13O9P,-,259.0224,-4.8,13.99,0.09,7,13248660,6775914,8517686,5067621,5726525,-,-,674002,-,673201,-,0.2875528048863375,0.6372490212082427,44.0,0.030395613820449908,3.920381016759632,2658.0,0.030397904129907907,3.919798622442345,2657.0,0.2875528048863375,-0.6372490212082424,44.0,0.0054626500913463475,3.2831319955513902,6325.0,0.005463588873737732,3.2825496012341024,6322.0,0.030395613820449908,-3.920381016759632,2658.0,0.0054626500913463475,-3.2831319955513902,6325.0,0.9767872376776074,-0.0005823943172874714,1.0,0.030397904129907907,-3.919798622442345,2657.0,0.005463588873737732,-3.2825496012341024,6322.0,0.9767872376776074,0.0005823943172874428,1.0
15,N-Acetylserine,C5H9NO4,-,146.0459,-10.1,8.12,0.44,5,8688550,8734337,5504656,7628354,5612078,-,-,-,-,-,-,0.07004751226929642,0.4794336028569241,149.0,2.1507909871519314e-08,3.587260915943343,2636598384.0,2.1507909871519314e-08,3.587260915943343,2636598384.0,0.07004751226929642,-0.4794336028569239,149.0,0.001325695949341715,3.10782731308642,22673.0,0.001325695949341715,3.10782731308642,22673.0,2.1507909871519314e-08,-3.5872609159433435,2636598384.0,0.001325695949341715,-3.10782731308642,22673.0,NA,0.0,0.0,2.1507909871519314e-08,-3.5872609159433435,2636598384.0,0.001325695949341715,-3.10782731308642,22673.0,NA,0.0,0.0
16,L-Glutamic acid,C5H9NO4,+,148.0604,-4.3,11.75,0.19,9,479019424,461691136,261841120,163616352,214938096,81916328,52491776,68959992,-,16219775,-,0.006215279182614026,1.1397500768074014,121213.0,1.1910867791552965e-05,5.767400664256063,1095251744.0,6.978739854790036e-05,2.794620030511016,26752013.0,0.006215279182614026,-1.1397500768074014,121213.0,0.002016374619461125,4.627650587448661,1361474.0,0.00793508138125796,1.6548699537036151,55806.0,1.1910867791552965e-05,-5.767400664256063,1095251744.0,0.002016374619461125,-4.627650587448661,1361474.0,0.003157381039573531,-2.9727806337450464,95010.0,6.978739854790036e-05,-2.794620030511016,26752013.0,0.00793508138125796,-1.6548699537036151,55806.0,0.003157381039573531,2.9727806337450464,95010.0
17,Creatine,C4H9N3O2,+,132.0768,-3.4,11.08,0.19,8,743608,781542,1926504,2212593,4148484,18114258,13900636,8060609,-,-,-,0.11309347251007115,-1.8570374248566517,56.0,2.029535086674371e-05,3.1100834927407743,180999.0,0.04415009134141305,-4.130735082242819,2801.0,0.11309347251007115,1.8570374248566517,56.0,0.01858801685637848,4.967120917597426,2399.0,0.02411665582124211,-2.273697657386168,1616.0,2.029535086674371e-05,-3.1100834927407743,180999.0,0.01858801685637848,-4.967120917597425,2399.0,0.010397206083943287,-7.240818574983593,97808.0,0.04415009134141305,4.130735082242819,2801.0,0.02411665582124211,2.273697657386168,1616.0,0.010397206083943287,7.240818574983593,97808.0
18,L-Lysine,C6H14N2O2,+,147.1128,-0.7,17.03,0.28,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
19,L-Arginine,C6H14N4O2,+,175.11900000000003,-3.7,19.99,0.04,9,30166794,18268288,14202198,16213973,24156268,3858526,2527338,5743043,-,4412838,-,0.3836534957998906,0.4128423614994175,74.0,0.01834612727174832,3.020761146528619,6017.0,0.02188802880587621,2.582565337430683,3867.0,0.3836534957998906,-0.4128423614994175,74.0,0.008210775858287453,2.6079187850292014,7861.0,0.011239607540313256,2.1697229759312657,4450.0,0.01834612727174832,-3.020761146528619,6017.0,0.008210775858287453,-2.6079187850292014,7861.0,0.4183981517383889,-0.4381958090979355,11.0,0.02188802880587621,-2.582565337430683,3867.0,0.011239607540313256,-2.1697229759312657,4450.0,0.4183981517383889,0.4381958090979357,11.0
20,L-Kynurenine,C10H12N2O3,+,209.0921,-3.2,7.55,0.21,8,103148,104928,143201,186855,215440,94275,51604,51714,-,-,-,0.06415363670521376,-0.8054955462485904,4.0,8.521076037422073e-07,3.004305187514438,550887.0,0.12897912705784886,0.6595412329799686,1.0,0.06415363670521376,0.8054955462485907,4.0,0.00129926333274842,3.8098007337630286,1051.0,0.010234302433566106,1.4650367792285592,33.0,8.521076037422073e-07,-3.004305187514438,550887.0,0.00129926333274842,-3.8098007337630286,1051.0,0.020406323717573182,-2.3447639545344696,10.0,0.12897912705784886,-0.6595412329799685,1.0,0.010234302433566106,-1.4650367792285592,33.0,0.020406323717573182,2.3447639545344696,10.0
21,Inosine,C10H12N4O5,+,269.08799999999997,-4.6,7.76,0.29,11,126335112,99624216,213819952,177716672,172782608,30503170,21270268,26774178,2362225,1570825,2329288,0.030645043794190464,-0.7354859015107107,8179.0,0.0015527250301146473,5.758180427922858,2005449.0,0.003748157651597044,2.1093862219224366,80105.0,0.030645043794190464,0.7354859015107105,8179.0,0.00013599239226142862,6.493666329433568,63014461.0,0.0002544205020797062,2.8448721234331478,3025586.0,0.0015527250301146473,-5.758180427922858,2005449.0,0.00013599239226142862,-6.493666329433568,63014461.0,0.0008644462904551242,-3.64879420600042,205095.0,0.003748157651597044,-2.1093862219224366,80105.0,0.0002544205020797062,-2.8448721234331478,3025586.0,0.0008644462904551242,3.64879420600042,205095.0
22,Xanthosine,C10H12N4O6,-,283.0684,-6.7,7.85,0.36,6,43191,78825,111064,40777,115606,-,-,29171,-,-,-,0.468226254896097,-0.5472201788005552,0.0,0.05069373857334737,1.6842904278477948,3.0,0.07002478455301081,1.4468528648879908,2.0,0.468226254896097,0.5472201788005552,0.0,0.044257722163009,2.2315106066483503,6.0,0.052446287427037504,1.9940730436885457,4.0,0.05069373857334737,-1.6842904278477948,3.0,0.044257722163009,-2.2315106066483503,6.0,0.373900966300059,-0.2374375629598043,0.0,0.07002478455301081,-1.4468528648879908,2.0,0.052446287427037504,-1.9940730436885459,4.0,0.373900966300059,0.2374375629598043,0.0
23,Cyclic AMP,C10H12N5O6P,-,328.0452,-8.1,7.12,0.22,4,-,42751,68634,-,106675,30340,-,-,-,-,-,0.4235480499987877,-1.2277001021347833,0.0,0.27222840122441616,1.3991984432296092,0.0,0.5683451795874163,0.6524557274518727,0.0,0.4235480499987877,1.2277001021347833,0.0,0.1394103852283581,2.6268985453643925,2.0,0.1948163911013616,1.8801558295866565,1.0,0.27222840122441616,-1.3991984432296092,0.0,0.1394103852283581,-2.6268985453643925,2.0,0.373900966300059,-0.7467427157777362,0.0,0.5683451795874163,-0.6524557274518729,0.0,0.1948163911013616,-1.880155829586656,1.0,0.373900966300059,0.7467427157777362,0.0
24,Orotidylic acid,C10H13N2O11P,+,369.033,6.0,6.93,0.06,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
25,Inosinic acid,C10H13N4O8P,+,349.0544,-4.5,12.69,0.27,6,631156,625548,352280,380431,469315,-,-,-,-,47614,-,0.015433685961551568,0.6491392806695178,52.0,2.2739057671349301e-07,3.8074819728837657,20726573.0,1.0063788555796577e-07,3.8521374761430343,48205637.0,0.015433685961551568,-0.6491392806695179,52.0,0.0005448087607250247,3.1583426922142483,3651.0,0.0005352095143845071,3.2029981954735174,3821.0,2.2739057671349301e-07,-3.8074819728837657,20726573.0,0.0005448087607250247,-3.1583426922142483,3651.0,0.37390096630005787,0.044655503259269085,0.0,1.0063788555796577e-07,-3.8521374761430343,48205637.0,0.0005352095143845071,-3.2029981954735174,3821.0,0.37390096630005787,-0.04465550325926899,0.0
26,Xanthylic acid,C10H13N4O9P,-,363.0347,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
27,Adenosine,C10H13N5O4,+,268.10400000000004,-4.2,6.0,0.21,11,43596504,51261184,424257472,381495360,305136096,57123724,37485320,35667888,1253496,1608113,1026156,0.005602514602837403,-2.9648435598965635,291061.0,0.0005208695006809187,5.193714284761111,1711806.0,0.6964200549215493,0.12721746134381012,71.0,0.005602514602837403,2.9648435598965626,291061.0,0.00044979181857121564,8.158557844657674,118030898.0,0.0007738865582303707,3.0920610212403736,2279315.0,0.0005208695006809187,-5.193714284761111,1711806.0,0.00044979181857121564,-8.158557844657674,118030898.0,0.0035857706460294125,-5.0664968234173,208964.0,0.6964200549215493,-0.1272174613438102,71.0,0.0007738865582303707,-3.0920610212403736,2279315.0,0.0035857706460294125,5.0664968234173,208964.0
28,Guanosine,C10H13N5O5,+,284.0989,-4.4,9.12,0.17,11,4625437,2152486,5274090,3395594,2522384,6146974,4648144,6278244,90964,86836,98048,0.8223623811063672,-0.13859897993135414,5.0,0.037355407440556716,5.203860322476579,1717.0,0.13728574152923334,-0.747869521404525,56.0,0.8223623811063672,0.13859897993135428,5.0,0.010971915000162272,5.342459302407933,7068.0,0.11218697266136514,-0.6092705414731711,64.0,0.037355407440556716,-5.2038603224765785,1717.0,0.010971915000162272,-5.342459302407933,7068.0,0.00043093023309811497,-5.951729843881104,415308.0,0.13728574152923334,0.747869521404525,56.0,0.11218697266136514,0.6092705414731711,64.0,0.00043093023309811497,5.951729843881104,415308.0
29,Thymidine,C10H14N2O5,+,243.0975,-9.2,9.77,0.33,8,169403,191754,19111,16831,14836,58703,38979,28528,-,-,-,0.00030398495947411234,3.415313156315235,3466.0,0.00027401431071868884,3.673803154539412,4535.0,0.002259308973359064,2.101762409965811,211.0,0.00030398495947411234,-3.4153131563152352,3466.0,0.0878222273331312,0.2584899982241773,0.0,0.048078758159147625,-1.3135507463494245,2.0,0.00027401431071868884,-3.673803154539412,4535.0,0.0878222273331312,-0.2584899982241772,0.0,0.0343157657483003,-1.5720407445736015,2.0,0.002259308973359064,-2.101762409965811,211.0,0.048078758159147625,1.3135507463494245,2.0,0.0343157657483003,1.5720407445736015,2.0
30,Adenosine monophosphate,C10H14N5O7P,+,348.0704,-4.5,10.01,0.31,9,537441,673482,1321890,456067,843682,6072554,5649910,19264552,-,-,112891,0.4721449630548759,-0.5293994091762415,2.0,0.0029946745750507285,3.353018308824627,1134.0,0.19055314321324054,-4.092522296496819,489.0,0.4721449630548759,0.5293994091762415,2.0,0.031829505776943635,3.882417718000868,216.0,0.10223727893749042,-3.5631228873205782,648.0,0.0029946745750507285,-3.353018308824627,1134.0,0.031829505776943635,-3.882417718000868,216.0,0.08314641117795675,-7.4455406053214475,10889.0,0.19055314321324054,4.092522296496819,489.0,0.10223727893749042,3.5631228873205782,648.0,0.08314641117795675,7.4455406053214475,10889.0
