,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,1 20AF,2 20AF,4 40AM,5 40AM,6 40AM,7 2e6 Mf,8 2e6 Mf,9 2e6 Mf,10 200 L3,11 200 L3,12 200 L3,AF_vs_AM_ttest_pval,AF_vs_AM_Log2FoldChange,AF_vs_AM_impact_score,AF_vs_L3_ttest_pval,AF_vs_L3_Log2FoldChange,AF_vs_L3_impact_score,AF_vs_Mf_ttest_pval,AF_vs_Mf_Log2FoldChange,AF_vs_Mf_impact_score,AM_vs_AF_ttest_pval,AM_vs_AF_Log2FoldChange,AM_vs_AF_impact_score,AM_vs_L3_ttest_pval,AM_vs_L3_Log2FoldChange,AM_vs_L3_impact_score,AM_vs_Mf_ttest_pval,AM_vs_Mf_Log2FoldChange,AM_vs_Mf_impact_score,L3_vs_AF_ttest_pval,L3_vs_AF_Log2FoldChange,L3_vs_AF_impact_score,L3_vs_AM_ttest_pval,L3_vs_AM_Log2FoldChange,L3_vs_AM_impact_score,L3_vs_Mf_ttest_pval,L3_vs_Mf_Log2FoldChange,L3_vs_Mf_impact_score,Mf_vs_AF_ttest_pval,Mf_vs_AF_Log2FoldChange,Mf_vs_AF_impact_score,Mf_vs_AM_ttest_pval,Mf_vs_AM_Log2FoldChange,Mf_vs_AM_impact_score,Mf_vs_L3_ttest_pval,Mf_vs_L3_Log2FoldChange,Mf_vs_L3_impact_score
31,Guanosine monophosphate,C10H14N5O8P,+,364.0653,-4.3,12.91,0.2,4,-,-,-,-,-,381506,140563,1709348,-,-,29292,NA,0.0,0.0,0.495025346059711,-0.20920807672234232,0.0,0.33366451742304915,-5.220356618337479,43.0,NA,0.0,0.0,0.373900966300059,-0.20920807672234232,0.0,0.211957556379679,-5.220356618337479,67.0,0.495025346059711,0.20920807672234246,0.0,0.373900966300059,0.20920807672234246,0.0,0.21357030677407748,-5.011148541615137,58.0,0.33366451742304915,5.220356618337479,43.0,0.211957556379679,5.220356618337479,67.0,0.21357030677407748,5.011148541615137,58.0
32,ADP,C10H15N5O10P2,-,426.0221,-7.8,12.35,0.25,2,-,-,-,303125,406472,-,-,-,-,-,-,0.33823852301012264,-0.3214947125221649,1.0,NA,0.0,0.0,NA,0.0,0.0,0.33823852301012264,0.3214947125221649,1.0,0.21614586594657112,0.3214947125221649,2.0,0.21614586594657112,0.3214947125221649,2.0,NA,0.0,0.0,0.21614586594657112,-0.3214947125221649,2.0,NA,0.0,0.0,NA,0.0,0.0,0.21614586594657112,-0.3214947125221649,2.0,NA,0.0,0.0
33,Guanosine diphosphate,C10H15N5O11P2,-,442.0171,-8.7,15.13,0.27,3,-,-,11014,10094,30601,-,-,-,-,-,-,0.4634670419346709,-0.7854529041003209,0.0,NA,0.0,0.0,NA,0.0,0.0,0.4634670419346709,0.7854529041003209,0.0,0.3401025315318378,0.7854529041003209,0.0,0.3401025315318378,0.7854529041003209,0.0,NA,0.0,0.0,0.3401025315318378,-0.7854529041003209,0.0,NA,0.0,0.0,NA,0.0,0.0,0.3401025315318378,-0.7854529041003209,0.0,NA,0.0,0.0
34,dTDP,C10H16N2O11P2,-,401.0157,-10.1,11.88,0.0,1,-,-,-,-,11476,-,-,-,-,-,-,0.495025346059711,-0.0692897127155349,0.0,NA,0.0,0.0,NA,0.0,0.0,0.495025346059711,0.0692897127155347,0.0,0.373900966300059,0.0692897127155347,0.0,0.373900966300059,0.0692897127155347,0.0,NA,0.0,0.0,0.373900966300059,-0.0692897127155349,0.0,NA,0.0,0.0,NA,0.0,0.0,0.373900966300059,-0.0692897127155349,0.0,NA,0.0,0.0
35,Adenosine triphosphate,C10H16N5O13P3,-,505.9885,-7.6,13.75,0.24,6,56492,57584,65643,116205,325539,-,-,35559,-,-,-,0.35491799798250145,-1.5681287545613234,1.0,8.590498167054162e-06,0.8712561983352384,9393.0,0.001063405441711977,0.8052676048754095,74.0,0.35491799798250145,1.5681287545613234,1.0,0.1579445666269738,2.439384952896562,3.0,0.1614255600276773,2.3733963594367333,3.0,8.590498167054162e-06,-0.8712561983352383,9393.0,0.1579445666269738,-2.439384952896562,3.0,0.3739009663000593,-0.06598859345982895,0.0,0.001063405441711977,-0.8052676048754095,74.0,0.1614255600276773,-2.3733963594367333,3.0,0.3739009663000593,0.0659885934598288,0.0
36,Guanosine triphosphate,C10H16N5O14P3,-,521.9834,-6.1,16.8,0.21,1,-,-,-,-,10903,-,-,-,-,-,-,0.495025346059711,-0.04278439808923956,0.0,NA,0.0,0.0,NA,0.0,0.0,0.495025346059711,0.04278439808923951,0.0,0.373900966300059,0.04278439808923951,0.0,0.373900966300059,0.04278439808923951,0.0,NA,0.0,0.0,0.373900966300059,-0.04278439808923956,0.0,NA,0.0,0.0,NA,0.0,0.0,0.373900966300059,-0.04278439808923956,0.0,NA,0.0,0.0
37,Glutathione,C10H17N3O6S,+,308.0911,9.5,10.15,0.11,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
38,Argininosuccinic acid,C10H18N4O6,-,289.1154,-3.7,13.08,0.0,1,-,10239,-,-,-,-,-,-,-,-,-,0.27222840122441616,0.017138008872056815,0.0,0.27222840122441616,0.017138008872056815,0.0,0.27222840122441616,0.017138008872056815,0.0,0.27222840122441616,-0.017138008872056926,0.0,NA,0.0,0.0,NA,0.0,0.0,0.27222840122441616,-0.017138008872056926,0.0,NA,0.0,0.0,NA,0.0,0.0,0.27222840122441616,-0.017138008872056926,0.0,NA,0.0,0.0,NA,0.0,0.0
39,Propionylcarnitine,C10H19NO4,+,218.1387,-3.6,6.75,0.45,5,52028,51859,112531,145947,210680,-,-,-,-,-,-,0.06739964961324622,-1.5900962328645345,5.0,5.986088906743958e-06,0.13115856772703305,9090.0,5.986088906743958e-06,0.13115856772703305,9090.0,0.06739964961324622,1.5900962328645345,5.0,0.0194038241762443,1.721254800591567,17.0,0.0194038241762443,1.721254800591567,17.0,5.986088906743958e-06,-0.1311585677270332,9090.0,0.0194038241762443,-1.721254800591567,17.0,NA,0.0,0.0,5.986088906743958e-06,-0.1311585677270332,9090.0,0.0194038241762443,-1.721254800591567,17.0,NA,0.0,0.0
40,L-Tryptophan,C11H12N2O2,+,205.0972,-4.7,8.3,0.23,11,27573224,30602092,16795084,20367594,31884198,4198829,1019378,1118537,111815,289168,68656,0.3850216186414703,0.3377935011222116,86.0,0.00013143052324787524,7.537673614225112,20671854.0,0.0006009349831821942,3.7835560049293857,357487.0,0.3850216186414703,-0.3377935011222117,86.0,0.007382664439580171,7.199880113102901,230730.0,0.011028805654103132,3.445762503807174,12413.0,0.00013143052324787524,-7.537673614225112,20671854.0,0.007382664439580171,-7.199880113102901,230730.0,0.13484002746233587,-3.754117609295727,114.0,0.0006009349831821942,-3.7835560049293857,357487.0,0.011028805654103132,-3.445762503807174,12413.0,0.13484002746233587,3.754117609295727,114.0
41,N-Acetyl-L-phenylalanine,C11H13NO3,+,208.0968,-3.9,3.5,0.18,11,545184,520313,892552,1032980,1907033,263771,542718,291109,572424,455619,595263,0.16675846014432072,-1.2618212282721897,13.0,0.8920208805279687,-0.022445947783452092,1.0,0.24259516110600654,0.5421392740099409,3.0,0.16675846014432072,1.2618212282721897,13.0,0.08300858928942352,1.2393752804887377,26.0,0.05051398362939848,1.80396050228213,57.0,0.8920208805279687,0.022445947783452148,1.0,0.08300858928942352,-1.2393752804887377,26.0,0.1506425381970015,0.5645852217933929,4.0,0.24259516110600654,-0.5421392740099409,3.0,0.05051398362939848,-1.80396050228213,57.0,0.1506425381970015,-0.5645852217933929,4.0
42,5'-Methylthioadenosine,C11H15N5O3S,+,298.0968,-7.8,4.27,0.3,8,239033,140283,516660,577958,656190,28865,20640,19829,-,-,-,0.00855555000420074,-1.6215862478962462,139.0,0.017477628826687706,3.7583565780252215,79.0,0.02046028315338886,3.0367278285832016,43.0,0.00855555000420074,1.6215862478962462,139.0,0.00014657491152934323,5.379942825921468,84890.0,0.00015772888644796496,4.658314076479448,48566.0,0.017477628826687706,-3.7583565780252215,79.0,0.00014657491152934323,-5.379942825921468,84890.0,0.034464045923090006,-0.7216287494420193,1.0,0.02046028315338886,-3.0367278285832016,43.0,0.00015772888644796496,-4.658314076479448,48566.0,0.034464045923090006,0.721628749442019,1.0
43,Saccharopine,C11H20N2O6,-,275.1249,-0.9,12.9,0.49,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
44,Butyrylcarnitine,C11H21NO4,+,232.1543,-4.5,5.81,0.42,8,925422,1332065,33100726,45203160,41535480,171174,137021,51479,-,-,-,0.003554344954215611,-5.145277905723535,204490.0,0.005420874979370348,5.207661245248901,3951.0,0.007828878386880126,3.2349184012511922,751.0,0.003554344954215611,5.145277905723535,204490.0,0.0003694189418954811,10.352939150972436,70763006.0,0.0003727295604983125,8.380196306974726,17907970.0,0.005420874979370348,-5.207661245248901,3951.0,0.0003694189418954811,-10.352939150972436,70763006.0,0.06606882302476867,-1.9727428439977088,4.0,0.007828878386880126,-3.2349184012511922,751.0,0.0003727295604983125,-8.380196306974726,17907970.0,0.06606882302476867,1.9727428439977088,4.0
45,Valerylcarnitine,C12H23NO4,+,246.17,-4.4,5.13,0.42,8,5886050,7312848,9872545,16140663,14433525,50484,43359,30269,-,-,-,0.06882038050377841,-1.030643194596019,298.0,0.0011406426730288775,7.957598586697676,722017.0,0.0011486245386085265,7.317593560004269,461136.0,0.06882038050377841,1.0306431945960188,298.0,0.001980376842209806,8.988241781293695,1732084.0,0.0019886379223895932,8.348236754600288,1108094.0,0.0011406426730288775,-7.957598586697676,722017.0,0.001980376842209806,-8.988241781293695,1732084.0,0.06648338415621208,-0.6400050266934068,1.0,0.0011486245386085265,-7.317593560004269,461136.0,0.0019886379223895932,-8.348236754600288,1108094.0,0.06648338415621208,0.6400050266934068,1.0
46,Adenylsuccinic acid,C14H18N5O11P,-,462.0668,-7.3,15.55,0.15,1,-,-,11555,-,-,-,-,-,-,-,-,0.4950253460597106,-0.07290612266968187,0.0,NA,0.0,0.0,NA,0.0,0.0,0.4950253460597106,0.07290612266968192,0.0,0.3739009663000584,0.07290612266968192,0.0,0.3739009663000584,0.07290612266968192,0.0,NA,0.0,0.0,0.3739009663000584,-0.07290612266968187,0.0,NA,0.0,0.0,NA,0.0,0.0,0.3739009663000584,-0.07290612266968187,0.0,NA,0.0,0.0
47,S-Adenosylhomocysteine,C14H20N6O5S,-,383.1143,-9.7,9.94,0.27,7,90251,100461,76108,66282,85712,17681,26784,-,-,-,-,0.09921427670825872,0.3266790283668968,1.0,0.00025107250558735385,2.4819451793147227,1251.0,0.0008869138839214028,2.2169024419563694,304.0,0.09921427670825872,-0.3266790283668969,1.0,0.00046300457036553897,2.155266150947826,448.0,0.0009884152296233883,1.890223413589472,181.0,0.00025107250558735385,-2.4819451793147227,1251.0,0.00046300457036553897,-2.155266150947826,448.0,0.33470290539095393,-0.26504273735835376,0.0,0.0008869138839214028,-2.2169024419563694,304.0,0.0009884152296233883,-1.890223413589472,181.0,0.33470290539095393,0.26504273735835365,0.0
48,S-Adenosylmethionine,C15H22N6O5S,+,399.1445,-5.5,12.42,0.16,8,318565,238812,397911,410028,441103,60529,47065,67066,-,-,-,0.027229497995059485,-0.5791341123822942,19.0,0.0037198001689171976,3.0663813817283883,351.0,0.0055522985566184,2.259066726704872,145.0,0.027229497995059485,0.5791341123822943,19.0,7.569340090204369e-06,3.6455154941106813,371676.0,1.4456344929657895e-05,2.8382008390871665,117380.0,0.0037198001689171976,-3.0663813817283883,351.0,7.569340090204369e-06,-3.6455154941106818,371676.0,0.013290545853389062,-0.8073146550235155,6.0,0.0055522985566184,-2.259066726704872,145.0,1.4456344929657895e-05,-2.8382008390871665,117380.0,0.013290545853389062,0.8073146550235156,6.0
49,Adenosine diphosphate ribose,C15H23N5O14P2,-,558.0644,-3.8,12.15,0.19,5,14506,-,30855,18604,20801,-,-,13064,-,-,-,0.11864413700499067,-0.9346060567958072,0.0,0.272228401224416,0.2931350190433211,0.0,0.6044655108305911,0.15283625093938613,0.0,0.11864413700499067,0.9346060567958072,0.0,0.02361697675079669,1.2277410758391278,2.0,0.03374783871384756,1.0874423077351931,1.0,0.272228401224416,-0.29313501904332107,0.0,0.02361697675079669,-1.2277410758391278,2.0,0.3739009663000585,-0.14029876810393466,0.0,0.6044655108305911,-0.15283625093938627,0.0,0.03374783871384756,-1.0874423077351931,1.0,0.3739009663000585,0.1402987681039347,0.0
50,Uridine diphosphate glucose,C15H24N2O17P2,-,565.0477,-3.1,13.61,0.08,5,6939060,3564108,4000222,1231166,2146040,-,-,-,-,-,-,0.18706592272090905,1.0945972038061205,44.0,0.0251457575505494,9.0366088286051,54943.0,0.0251457575505494,9.0366088286051,54943.0,0.18706592272090905,-1.0945972038061205,44.0,0.039676448944933,7.94201162479898,7652.0,0.039676448944933,7.94201162479898,7652.0,0.0251457575505494,-9.0366088286051,54943.0,0.039676448944933,-7.94201162479898,7652.0,NA,0.0,0.0,0.0251457575505494,-9.0366088286051,54943.0,0.039676448944933,-7.94201162479898,7652.0,NA,0.0,0.0
51,Palmitic acid,C16H32O2,-,255.233,-4.5,2.82,0.2,3,-,-,-,-,2777581,29232522,-,23738880,-,-,-,0.495025346059711,-0.02040420855979251,5.0,NA,0.0,0.0,0.22602734675641825,-2.799500264430589,327.0,0.495025346059711,0.020404208559792414,5.0,0.373900966300059,0.020404208559792414,7.0,0.12203497672263215,-2.779096055870797,598.0,NA,0.0,0.0,0.373900966300059,-0.02040420855979251,7.0,0.1213780137082842,-2.799500264430589,608.0,0.22602734675641825,2.799500264430589,327.0,0.12203497672263215,2.7790960558707964,598.0,0.1213780137082842,2.799500264430589,608.0
52,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,+,608.0888,-3.7,12.35,0.09,5,1511720,802344,508597,267278,419151,-,-,-,-,-,-,0.07293163554043472,1.5383492592472927,31.0,0.022743981849383213,6.492404328307786,2316.0,0.022743981849383213,6.492404328307786,2316.0,0.07293163554043472,-1.5383492592472927,31.0,0.0054236740535821785,4.954055069060493,1175.0,0.0054236740535821785,4.954055069060493,1175.0,0.022743981849383213,-6.492404328307786,2316.0,0.0054236740535821785,-4.954055069060493,1175.0,NA,0.0,0.0,0.022743981849383213,-6.492404328307786,2316.0,0.0054236740535821785,-4.954055069060493,1175.0,NA,0.0,0.0
53,Folic acid,C19H19N7O6,+,442.147,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
54,Dihydrofolic acid,C19H21N7O6,+,444.1626,9.2,8.64,0.11,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
55,Oxidized glutathione,C20H32N6O12S2,+,613.1592,-2.8,14.71,0.21,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
56,NAD,C21H27N7O14P2,+,664.1164,-8.0,11.18,0.2,9,2509012,1391418,1780712,1265590,1639051,52572,36933,58304,-,24199,-,0.4616146374535118,0.3204379359852467,5.0,0.01895622999198637,6.534994787505159,4822.0,0.01973580117310185,5.306789660210233,2005.0,0.4616146374535118,-0.3204379359852467,5.0,0.0005559869282044683,6.214556851519912,105707.0,0.0005991216103880451,4.986351724224987,42619.0,0.01895622999198637,-6.534994787505159,4822.0,0.0005559869282044683,-6.214556851519912,105707.0,0.012729339281842124,-1.2282051272949257,6.0,0.01973580117310185,-5.306789660210233,2005.0,0.0005991216103880451,-4.986351724224987,42619.0,0.012729339281842124,1.2282051272949257,6.0
57,NADP,C21H28N7O17P3,+,744.0827,-4.1,13.88,0.42,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
58,NADH,C21H29N7O14P2,-,664.1175,7.5,10.93,0.0,1,-,-,-,-,-,-,12597,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,0.4950253460597114,-0.11977669427875785,0.0,NA,0.0,0.0,NA,0.0,0.0,0.3739009663000593,-0.11977669427875785,0.0,NA,0.0,0.0,NA,0.0,0.0,0.3739009663000593,-0.11977669427875785,0.0,0.4950253460597114,0.11977669427875788,0.0,0.3739009663000593,0.11977669427875788,0.0,0.3739009663000593,0.11977669427875788,0.0
59,NADPH,C21H30N7O17P3,-,744.0838,-5.5,14.26,0.0,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
60,Acetyl-CoA,C23H38N7O17P3S,+,810.1331,-2.2,8.97,0.0,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
61,FAD,C27H33N9O15P2,+,786.1644,-4.5,8.82,0.18,8,65826,31729,28113,31391,43939,11942,13267,22089,-,-,-,0.38675903529107536,0.5004142020553173,0.0,0.05535742965850979,2.2862158173790954,3.0,0.08992776757011653,1.6293991377297758,1.0,0.38675903529107536,-0.5004142020553171,0.0,0.007099791313838279,1.7858016153237786,11.0,0.03172548757128665,1.1289849356744588,2.0,0.05535742965850979,-2.2862158173790954,3.0,0.007099791313838279,-1.7858016153237786,11.0,0.14444403744108364,-0.6568166796493198,0.0,0.08992776757011653,-1.6293991377297758,1.0,0.03172548757128665,-1.1289849356744588,2.0,0.14444403744108364,0.6568166796493198,0.0
62,Glycine,C2H5NO2,+,76.0393,5.2,12.04,0.11,11,19583386,20644350,16335498,15634202,15157622,5941982,4360148,5262631,1185238,1130371,1432118,0.005043573181857853,0.3565893438564318,4547.0,2.3125875515931824e-05,4.009065276662996,7436785.0,0.00023690838134632748,1.9548696225935749,207024.0,0.005043573181857853,-0.35658934385643176,4547.0,2.1574780253030984e-06,3.6524759328065652,49421056.0,5.132423078260511e-05,1.5982802787371435,616409.0,2.3125875515931824e-05,-4.009065276662996,7436785.0,2.1574780253030984e-06,-3.652475932806565,49421056.0,0.0010860179058820414,-2.0541956540694213,12309.0,0.00023690838134632748,-1.9548696225935756,207024.0,5.132423078260511e-05,-1.5982802787371433,616409.0,0.0010860179058820414,2.0541956540694213,12309.0
63,Hypotaurine,C2H7NO2S,-,108.0125,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0
64,Taurine,C2H7NO3S,-,124.0074,-10.4,11.51,0.27,10,202079,206781,550418,485834,342512,514167,970425,1021825,13450,-,13355,0.04872017366021682,-1.1687342026289702,15.0,3.7002615036923653e-06,4.0585957508790065,487924.0,0.05632852004987302,-2.030985127645133,38.0,0.04872017366021682,1.1687342026289702,15.0,0.001891898621148673,5.227329953507977,4672.0,0.09503057722775317,-0.8622509250161627,12.0,3.7002615036923653e-06,-4.0585957508790065,487924.0,0.001891898621148673,-5.227329953507977,4672.0,0.006971521762344189,-6.0895808785241385,4140.0,0.05632852004987302,2.030985127645133,38.0,0.09503057722775317,0.8622509250161625,12.0,0.006971521762344189,6.0895808785241385,4140.0
65,O-Phosphoethanolamine,C2H8NO4P,+,142.0264,-1.9,12.93,0.26,4,-,-,367748,456137,457083,-,-,170040,-,-,-,0.003121631962055532,-2.2211664520274703,387.0,NA,0.0,0.0,0.4950253460597112,-0.3624525018841625,0.0,0.003121631962055532,2.2211664520274703,387.0,0.00034676048163082273,2.2211664520274703,3486.0,0.0014391699938710847,1.858713950143308,686.0,NA,0.0,0.0,0.00034676048163082273,-2.2211664520274703,3486.0,0.373900966300059,-0.3624525018841625,0.0,0.4950253460597112,0.3624525018841625,0.0,0.0014391699938710847,-1.8587139501433076,686.0,0.373900966300059,0.3624525018841625,0.0
66,Pyruvic acid,C3H4O3,-,87.0088,-18.0,6.03,0.38,5,2769244,2670084,14428384,19704808,17157536,-,-,-,-,-,-,0.005289697020477349,-2.65223521746339,11775.0,9.218974354533199e-06,2.673333490770585,1088431.0,9.218974354533199e-06,2.673333490770585,1088431.0,0.005289697020477349,2.65223521746339,11775.0,0.00039617654489245064,5.325568708233974,886854.0,0.00039617654489245064,5.325568708233974,886854.0,9.218974354533199e-06,-2.673333490770585,1088431.0,0.00039617654489245064,-5.325568708233974,886854.0,NA,0.0,0.0,9.218974354533199e-06,-2.673333490770585,1088431.0,0.00039617654489245064,-5.325568708233974,886854.0,NA,0.0,0.0
67,Phosphoenolpyruvic acid,C3H5O6P,-,166.9751,-7.2,14.79,0.34,6,93476,173521,183929,301868,573997,-,-,72993,-,-,-,0.24414785204625825,-1.4039259271324227,3.0,0.07992715741985924,1.2599221572994421,3.0,0.10100770676425216,1.118305973802639,2.0,0.24414785204625825,1.403925927132423,3.0,0.06158876597321535,2.6638480844318653,21.0,0.06514346428039129,2.5222319009350618,18.0,0.07992715741985924,-1.259922157299442,3.0,0.06158876597321535,-2.6638480844318653,21.0,0.373900966300059,-0.14161618349680294,0.0,0.10100770676425216,-1.118305973802639,2.0,0.06514346428039129,-2.5222319009350618,18.0,0.373900966300059,0.14161618349680288,0.0
68,L-Lactic acid,C3H6O3,-,89.0244,-17.0,7.38,0.29,11,1007200064,1055312576,1137248384,1107152000,1092793728,18132220,15160424,12365380,1523368,1644505,2168690,0.04600059638978275,-0.1092701435051034,25134.0,1.1642702777237371e-05,9.179238869370439,25719204996.0,1.2368564201736662e-05,6.0823532277846075,2866491211.0,0.04600059638978275,0.10927014350510328,25134.0,1.1602282288874123e-07,9.288509012875542,3002621231688.0,1.2571947937309383e-07,6.1916233712897135,327788375263.0,1.1642702777237371e-05,-9.179238869370444,25719204996.0,1.1602282288874123e-07,-9.288509012875542,3002621231688.0,0.001313967682533802,-3.096885641585833,55341.0,1.2368564201736662e-05,-6.0823532277846075,2866491211.0,1.2571947937309383e-07,-6.1916233712897135,327788375263.0,0.001313967682533802,3.096885641585833,55341.0
69,Guanidoacetic acid,C3H7N3O2,+,118.0611,-0.9,12.07,0.45,6,46473,-,120835,112352,45867,263084,225440,-,-,-,-,0.1817231340453776,-1.2467390762871848,1.0,0.272228401224416,0.2961972040445348,0.0,0.2429186222489708,-2.145944617317311,2.0,0.1817231340453776,1.246739076287185,1.0,0.061482089386652165,1.5429362803317197,3.0,0.34619468439494616,-0.8992055410301258,1.0,0.272228401224416,-0.2961972040445349,0.0,0.061482089386652165,-1.5429362803317197,3.0,0.11923242517281166,-2.442141821361845,5.0,0.2429186222489708,2.145944617317311,2.0,0.34619468439494616,0.8992055410301261,1.0,0.11923242517281166,2.4421418213618455,5.0
70,L-Cysteine,C3H7NO2S,+,122.027,-0.2,13.07,0.2,4,21327,22372,14999,-,16985,-,-,-,-,-,-,0.06262338294161877,0.6427231413841633,0.0,7.798921300673791e-05,1.1276002657316415,446.0,7.798921300673791e-05,1.1276002657316415,446.0,0.06262338294161877,-0.6427231413841634,0.0,0.12692407083122836,0.4848771243474781,0.0,0.12692407083122836,0.4848771243474781,0.0,7.798921300673791e-05,-1.1276002657316415,446.0,0.12692407083122836,-0.4848771243474781,0.0,NA,0.0,0.0,7.798921300673791e-05,-1.1276002657316415,446.0,0.12692407083122836,-0.4848771243474781,0.0,NA,0.0,0.0
